,Mass,Center of Mass,RMS Radius,Potential Issue
25,14000000000.0,"(141.16, 109.44, 70.319999999999993)",0.0,yes
55,42000000000.0,"(50.109999999999992, 124.94666666666667, 0.33000000000000002)",0.107186234605,yes
63,14000000000.0,"(108.53, 0.62, 26.25)",0.0,yes
69,56000000000.0,"(36.939999999999998, 0.89999999999999991, 76.672499999999999)",0.20510667956,yes
86,14000000000.0,"(50.950000000000003, 124.09, 0.22)",0.0,yes
121,42000000000.0,"(55.466666666666669, 0.66000000000000003, 0.20666666666666667)",0.123738074622,yes
133,70000000000.0,"(24.758000000000003, 140.98600000000002, 81.484000000000009)",0.250247877114,yes
137,14000000000.0,"(103.61, 141.06, 49.840000000000003)",0.0,yes
221,56000000000.0,"(119.2525, 117.9725, 0.98999999999999999)",0.487685862005,yes
235,14000000000.0,"(133.91999999999999, 25.48, 141.22999999999999)",0.0,yes
269,126000000000.0,"(61.00888888888889, 0.28333333333333333, 10.186666666666667)",0.3857588321,yes
272,14000000000.0,"(52.229999999999997, 117.5, 0.080000000000000002)",0.0,yes
352,14000000000.0,"(56.079999999999998, 138.93000000000001, 141.05000000000001)",0.0,yes
436,70000000000.0,"(64.145999999999987, 21.443999999999999, 0.58800000000000008)",0.501581498861,yes
470,70000000000.0,"(22.289999999999999, 35.5, 0.82599999999999996)",0.387690598287,yes
485,70000000000.0,"(64.26400000000001, 0.52800000000000002, 50.501999999999995)",0.354874625748,yes
486,14000000000.0,"(26.530000000000001, 45.170000000000002, 140.83000000000001)",0.0,yes
497,14000000000.0,"(49.840000000000003, 61.850000000000001, 0.75)",0.0,yes
542,182000000000.0,"(121.42153846153847, 140.9823076923077, 66.814615384615379)",0.302543458661,yes
567,140000000000.0,"(48.045999999999999, 66.542000000000002, 0.83800000000000008)",0.668023951666,yes
603,126000000000.0,"(113.12, 0.56777777777777771, 60.483333333333334)",0.831100712947,yes
626,14000000000.0,"(129.38, 119.31999999999999, 140.62)",0.0,yes
638,14000000000.0,"(27.350000000000001, 141.22999999999999, 81.620000000000005)",0.0,yes
708,28000000000.0,"(48.615000000000002, 60.905000000000001, 0.22999999999999998)",0.340367448502,yes
724,14000000000.0,"(30.629999999999999, 0.68000000000000005, 124.20999999999999)",0.0,yes
744,14000000000.0,"(141.05000000000001, 72.340000000000003, 48.609999999999999)",0.0,yes
761,14000000000.0,"(115.8, 141.02000000000001, 55.030000000000001)",0.0,yes
796,14000000000.0,"(0.64000000000000001, 88.760000000000005, 54.170000000000002)",0.0,yes
853,14000000000.0,"(0.26000000000000001, 79.849999999999994, 7.4100000000000001)",0.0,yes
867,28000000000.0,"(39.710000000000001, 141.11000000000001, 76.914999999999992)",0.119268604419,yes
879,14000000000.0,"(67.040000000000006, 59.009999999999998, 0.040000000000000001)",0.0,yes
898,14000000000.0,"(125.83, 112.55, 140.56)",0.0,yes
916,14000000000.0,"(61.390000000000001, 141.09999999999999, 1.6299999999999999)",0.0,yes
950,14000000000.0,"(3.8900000000000001, 75.329999999999998, 0.69999999999999996)",0.0,yes
964,14000000000.0,"(29.02, 41.350000000000001, 0.75)",0.0,yes
974,14000000000.0,"(118.08, 140.88, 91.459999999999994)",0.0,yes
1001,70000000000.0,"(24.027999999999999, 0.51999999999999991, 80.109999999999999)",0.402064671415,yes
1022,14000000000.0,"(65.730000000000004, 133.43000000000001, 0.20000000000000001)",0.0,yes
1031,70000000000.0,"(55.487999999999985, 0.56799999999999995, 132.30199999999999)",0.342706871831,yes
1090,14000000000.0,"(0.22, 53.280000000000001, 120.06999999999999)",0.0,yes
1092,56000000000.0,"(49.967500000000001, 67.689999999999998, 1.0924999999999998)",0.618819440548,yes
1121,364000000000.0,"(32.080769230769235, 140.64769230769232, 70.608461538461512)",0.607218900315,yes
1137,70000000000.0,"(61.394000000000005, 140.93800000000002, 55.778000000000006)",0.410726186163,yes
1150,70000000000.0,"(30.171999999999997, 0.27000000000000002, 24.788)",0.33375440072,yes
1152,1610000000000.0,"(26.803043478260864, 88.982608695652161, 140.2936521739131)",1.10528028419,yes
1185,56000000000.0,"(40.902500000000003, 66.265000000000001, 141.0275)",0.27020825302,yes
1238,14000000000.0,"(107.39, 1.1100000000000001, 0.14000000000000001)",0.0,yes
1273,14000000000.0,"(35.969999999999999, 121.72, 140.93000000000001)",0.0,yes
1279,14000000000.0,"(125.98999999999999, 0.68999999999999995, 22.350000000000001)",0.0,yes
1316,28000000000.0,"(43.409999999999997, 67.405000000000001, 0.20000000000000001)",0.208865985742,yes
1326,238000000000.0,"(20.797058823529415, 1.4488235294117651, 56.118235294117653)",0.496693565763,yes
1425,434000000000.0,"(113.99064516129029, 105.34161290322579, 1.5790322580645162)",0.758250903648,yes
1437,14000000000.0,"(65.129999999999995, 0.69999999999999996, 48.630000000000003)",0.0,yes
1456,56000000000.0,"(140.185, 60.945000000000007, 53.817500000000003)",0.37949802371,yes
1473,406000000000.0,"(111.72068965517242, 141.0451724137931, 61.988965517241382)",0.774484908033,yes
1525,14000000000.0,"(136.0, 141.12, 89.120000000000005)",0.0,yes
1592,28000000000.0,"(65.504999999999995, 0.125, 42.75)",0.192223827867,yes
1605,14000000000.0,"(100.14, 0.34000000000000002, 80.739999999999995)",0.0,yes
1632,70000000000.0,"(139.26600000000002, 140.75, 82.085999999999984)",0.316430087065,yes
1656,364000000000.0,"(67.458461538461535, 57.009615384615387, 140.36346153846154)",0.877825615171,yes
1665,140000000000.0,"(0.68300000000000005, 84.931000000000012, 126.95699999999999)",0.579008635514,yes
1673,14000000000.0,"(89.689999999999998, 84.280000000000001, 140.83000000000001)",0.0,yes
1680,14000000000.0,"(54.82, 140.84, 32.670000000000002)",0.0,yes
1726,56000000000.0,"(59.192500000000003, 0.15000000000000002, 81.537499999999994)",0.251768743096,yes
1745,14000000000.0,"(0.17999999999999999, 58.240000000000002, 63.979999999999997)",0.0,yes
1765,28000000000.0,"(32.399999999999999, 0.15000000000000002, 70.625)",0.334402452144,yes
1808,14000000000.0,"(0.23000000000000001, 95.489999999999995, 62.469999999999999)",0.0,yes
1859,14000000000.0,"(1.24, 0.42999999999999999, 77.670000000000002)",0.0,yes
1889,14000000000.0,"(141.09, 87.019999999999996, 58.07)",0.0,yes
1895,56000000000.0,"(63.850000000000001, 57.727499999999999, 140.56999999999999)",0.276439414701,yes
1945,14000000000.0,"(123.59, 0.44, 38.490000000000002)",0.0,yes
1956,14000000000.0,"(109.23999999999999, 140.69999999999999, 89.299999999999997)",0.0,yes
1980,14000000000.0,"(26.420000000000002, 87.540000000000006, 140.75)",0.0,yes
1984,14000000000.0,"(140.55000000000001, 53.729999999999997, 64.040000000000006)",0.0,yes
1991,350000000000.0,"(111.78079999999999, 0.26160000000000005, 62.440400000000018)",0.579075677265,yes
1992,42000000000.0,"(140.79999999999998, 97.100000000000009, 124.90999999999998)",0.155777619274,yes
2042,182000000000.0,"(1.4923076923076921, 56.408461538461538, 112.13384615384615)",0.506914322324,yes
2133,14000000000.0,"(104.86, 70.569999999999993, 0.35999999999999999)",0.0,yes
2141,14000000000.0,"(0.37, 69.469999999999999, 80.349999999999994)",0.0,yes
2173,42000000000.0,"(140.34999999999999, 125.25666666666666, 21.52)",0.37517403369,yes
2183,14000000000.0,"(73.900000000000006, 141.0, 121.58)",0.0,yes
2194,364000000000.0,"(120.80615384615385, 140.44653846153849, 89.207307692307708)",0.720574433902,yes
2225,14000000000.0,"(73.980000000000004, 72.659999999999997, 0.67000000000000004)",0.0,yes
2270,14000000000.0,"(0.11, 61.869999999999997, 35.090000000000003)",0.0,yes
2276,14000000000.0,"(133.37, 141.28, 89.829999999999998)",0.0,yes
2343,42000000000.0,"(67.339999999999989, 140.49666666666664, 105.63666666666667)",0.0929755045399,yes
2359,14000000000.0,"(122.08, 0.27000000000000002, 89.069999999999993)",0.0,yes
2367,14000000000.0,"(0.51000000000000001, 101.61, 62.960000000000001)",0.0,yes
2414,42000000000.0,"(78.393333333333331, 140.63333333333333, 27.356666666666666)",0.47349762407,yes
2458,14000000000.0,"(94.370000000000005, 0.51000000000000001, 10.220000000000001)",0.0,yes
2477,28000000000.0,"(0.084999999999999992, 53.709999999999994, 64.97999999999999)",0.178115131306,yes
2491,56000000000.0,"(38.355000000000004, 140.2475, 60.390000000000001)",0.354039192746,yes
2492,14000000000.0,"(141.13, 96.370000000000005, 61.299999999999997)",0.0,yes
2522,14000000000.0,"(33.539999999999999, 71.950000000000003, 0.13)",0.0,yes
2569,392000000000.0,"(38.502857142857145, 66.318571428571417, 141.03142857142856)",0.594470266674,yes
2575,14000000000.0,"(107.98, 141.00999999999999, 89.030000000000001)",0.0,yes
2628,336000000000.0,"(0.94166666666666643, 91.255833333333328, 81.534166666666664)",0.602843954381,yes
2637,14000000000.0,"(0.40000000000000002, 31.09, 33.670000000000002)",0.0,yes
2670,28000000000.0,"(57.030000000000001, 140.57499999999999, 125.36500000000001)",0.341833292703,yes
2724,14000000000.0,"(28.710000000000001, 140.61000000000001, 50.869999999999997)",0.0,yes
2781,182000000000.0,"(28.364615384615384, 88.373076923076923, 0.58307692307692305)",0.670755998458,yes
2785,14000000000.0,"(101.03, 141.28, 87.5)",0.0,yes
2815,14000000000.0,"(17.440000000000001, 80.370000000000005, 140.90000000000001)",0.0,yes
2821,14000000000.0,"(32.289999999999999, 140.56999999999999, 57.590000000000003)",0.0,yes
2834,14000000000.0,"(2.5099999999999998, 51.880000000000003, 141.09999999999999)",0.0,yes
2896,28000000000.0,"(24.609999999999999, 141.03500000000003, 68.289999999999992)",0.0832165848855,yes
2897,14000000000.0,"(0.14999999999999999, 124.8, 20.219999999999999)",0.0,yes
2952,14000000000.0,"(108.04000000000001, 0.40999999999999998, 109.20999999999999)",0.0,yes
2990,14000000000.0,"(14.41, 141.02000000000001, 82.810000000000002)",0.0,yes
3002,14000000000.0,"(40.299999999999997, 141.27000000000001, 62.049999999999997)",0.0,yes
3101,98000000000.0,"(22.287142857142857, 140.9942857142857, 78.095714285714294)",0.394440963224,yes
3138,224000000000.0,"(43.803750000000008, 66.132500000000022, 0.46750000000000008)",0.395345971903,yes
3144,14000000000.0,"(0.52000000000000002, 26.34, 100.54000000000001)",0.0,yes
3174,14000000000.0,"(39.899999999999999, 0.20000000000000001, 126.59)",0.0,yes
3244,42000000000.0,"(0.69333333333333336, 66.046666666666667, 80.013333333333335)",0.407839837845,yes
3265,14000000000.0,"(0.72999999999999998, 94.099999999999994, 10.42)",0.0,yes
3273,42000000000.0,"(42.226666666666667, 65.706666666666663, 140.74666666666667)",0.522047252012,yes
3333,14000000000.0,"(65.090000000000003, 140.59999999999999, 79.25)",0.0,yes
3364,14000000000.0,"(141.27000000000001, 23.329999999999998, 79.730000000000004)",0.0,yes
3388,14000000000.0,"(58.049999999999997, 0.17999999999999999, 81.760000000000005)",0.0,yes
3410,196000000000.0,"(140.5, 87.464285714285737, 20.562142857142856)",0.622080528287,yes
3438,14000000000.0,"(102.14, 140.56999999999999, 78.170000000000002)",0.0,yes
3448,14000000000.0,"(86.959999999999994, 41.920000000000002, 0.40999999999999998)",0.0,yes
3467,14000000000.0,"(70.180000000000007, 68.299999999999997, 140.69999999999999)",0.0,yes
3475,14000000000.0,"(31.210000000000001, 0.29999999999999999, 77.25)",0.0,yes
3486,28000000000.0,"(87.424999999999997, 141.14499999999998, 55.260000000000005)",0.178465682976,yes
3530,14000000000.0,"(19.399999999999999, 11.699999999999999, 0.57999999999999996)",0.0,yes
3562,14000000000.0,"(114.23, 0.56000000000000005, 126.65000000000001)",0.0,yes
3569,28000000000.0,"(62.740000000000002, 0.745, 14.725)",0.123895116934,yes
3622,14000000000.0,"(35.560000000000002, 141.15000000000001, 7.75)",0.0,yes
3637,28000000000.0,"(141.13499999999999, 113.545, 18.114999999999998)",0.243874967965,yes
3661,14000000000.0,"(55.93, 0.47999999999999998, 81.090000000000003)",0.0,yes
3727,14000000000.0,"(83.840000000000003, 0.02, 34.350000000000001)",0.0,yes
3745,14000000000.0,"(103.45999999999999, 63.310000000000002, 0.01)",0.0,yes
3749,56000000000.0,"(104.815, 0.57750000000000001, 97.412499999999994)",0.197262515446,yes
3750,28000000000.0,"(60.689999999999998, 0.83499999999999996, 93.634999999999991)",0.191702895127,yes
3764,28000000000.0,"(67.155000000000001, 57.875, 0.40500000000000003)",0.123592070943,yes
3788,14000000000.0,"(101.09999999999999, 118.16, 140.97)",0.0,yes
3840,14000000000.0,"(50.869999999999997, 58.969999999999999, 141.05000000000001)",0.0,yes
3849,14000000000.0,"(73.989999999999995, 9.7200000000000006, 0.26000000000000001)",0.0,yes
3858,14000000000.0,"(58.579999999999998, 0.20999999999999999, 49.310000000000002)",0.0,yes
3878,70000000000.0,"(32.096000000000004, 140.602, 43.102000000000004)",0.455034064659,yes
3917,14000000000.0,"(115.61, 2.1600000000000001, 140.78)",0.0,yes
3924,14000000000.0,"(0.20999999999999999, 106.01000000000001, 17.899999999999999)",0.0,yes
3940,14000000000.0,"(116.17, 0.38, 43.109999999999999)",0.0,yes
3960,14000000000.0,"(3.8199999999999998, 44.710000000000001, 0.59999999999999998)",0.0,yes
3980,14000000000.0,"(39.460000000000001, 68.810000000000002, 140.62)",0.0,yes
4004,14000000000.0,"(141.28, 85.620000000000005, 90.5)",0.0,yes
4007,28000000000.0,"(43.509999999999998, 51.230000000000004, 0.58499999999999996)",0.0320156211872,yes
4036,14000000000.0,"(106.78, 89.569999999999993, 141.13999999999999)",0.0,yes
4058,14000000000.0,"(140.65000000000001, 34.0, 53.659999999999997)",0.0,yes
4076,14000000000.0,"(92.790000000000006, 140.75, 93.590000000000003)",0.0,yes
4089,14000000000.0,"(0.11, 86.780000000000001, 19.809999999999999)",0.0,yes
4099,14000000000.0,"(0.46999999999999997, 86.170000000000002, 99.939999999999998)",0.0,yes
4145,14000000000.0,"(84.159999999999997, 38.090000000000003, 0.41999999999999998)",0.0,yes
4161,14000000000.0,"(0.5, 25.739999999999998, 19.5)",0.0,yes
4168,28000000000.0,"(25.695, 0.68999999999999995, 72.355000000000004)",0.205548047911,yes
4170,70000000000.0,"(67.895999999999987, 0.29599999999999999, 51.339999999999996)",0.526961099134,yes
4187,14000000000.0,"(115.42, 0.16, 89.489999999999995)",0.0,yes
4195,14000000000.0,"(62.899999999999999, 53.0, 0.029999999999999999)",0.0,yes
4198,14000000000.0,"(22.059999999999999, 121.63, 140.80000000000001)",0.0,yes
4204,14000000000.0,"(60.43, 33.07, 0.040000000000000001)",0.0,yes
4244,28000000000.0,"(0.80500000000000005, 122.69499999999999, 30.32)",0.3529164207,yes
4281,14000000000.0,"(0.28000000000000003, 3.8799999999999999, 49.600000000000001)",0.0,yes
4369,14000000000.0,"(70.709999999999994, 0.5, 61.32)",0.0,yes
4376,14000000000.0,"(107.27, 141.19, 42.119999999999997)",0.0,yes
4382,14000000000.0,"(132.96000000000001, 33.840000000000003, 0.70999999999999996)",0.0,yes
4421,14000000000.0,"(0.52000000000000002, 31.050000000000001, 119.64)",0.0,yes
4422,42000000000.0,"(133.37666666666667, 34.699999999999996, 141.19333333333333)",0.102848324137,yes
4448,14000000000.0,"(117.51000000000001, 76.689999999999998, 141.21000000000001)",0.0,yes
4561,14000000000.0,"(1.1699999999999999, 66.790000000000006, 141.18000000000001)",0.0,yes
4563,14000000000.0,"(67.5, 140.66, 55.100000000000001)",0.0,yes
4577,14000000000.0,"(35.079999999999998, 121.8, 0.72999999999999998)",0.0,yes
4606,14000000000.0,"(67.519999999999996, 8.0800000000000001, 0.14999999999999999)",0.0,yes
4653,14000000000.0,"(77.700000000000003, 73.700000000000003, 0.60999999999999999)",0.0,yes
4656,70000000000.0,"(70.695999999999998, 140.56, 20.827999999999999)",0.328572670805,yes
4664,14000000000.0,"(79.239999999999995, 141.19999999999999, 96.209999999999994)",0.0,yes
4670,28000000000.0,"(12.745000000000001, 71.724999999999994, 140.97499999999999)",0.259374246987,yes
4694,140000000000.0,"(96.474000000000004, 109.43800000000002, 1.056)",0.376435917521,yes
4705,14000000000.0,"(16.760000000000002, 64.459999999999994, 0.67000000000000004)",0.0,yes
4740,14000000000.0,"(126.86, 117.90000000000001, 0.10000000000000001)",0.0,yes
4746,28000000000.0,"(118.06, 34.359999999999999, 0.13)",0.186815416923,yes
4747,14000000000.0,"(140.62, 56.520000000000003, 48.0)",0.0,yes
4753,14000000000.0,"(87.290000000000006, 140.56, 56.460000000000001)",0.0,yes
4810,14000000000.0,"(48.829999999999998, 140.88999999999999, 50.960000000000001)",0.0,yes
4837,14000000000.0,"(24.629999999999999, 58.840000000000003, 0.51000000000000001)",0.0,yes
4851,14000000000.0,"(141.25999999999999, 26.129999999999999, 104.25)",0.0,yes
4880,14000000000.0,"(77.920000000000002, 43.640000000000001, 141.13)",0.0,yes
4914,14000000000.0,"(114.64, 21.379999999999999, 0.27000000000000002)",0.0,yes
4934,14000000000.0,"(26.66, 141.25, 83.310000000000002)",0.0,yes
4947,14000000000.0,"(0.67000000000000004, 0.35999999999999999, 88.609999999999999)",0.0,yes
4972,14000000000.0,"(22.370000000000001, 38.340000000000003, 141.06999999999999)",0.0,yes
5000,14000000000.0,"(21.190000000000001, 141.03999999999999, 56.280000000000001)",0.0,yes
5066,14000000000.0,"(106.73999999999999, 0.70999999999999996, 92.930000000000007)",0.0,yes
5077,14000000000.0,"(13.550000000000001, 38.630000000000003, 0.66000000000000003)",0.0,yes
5103,14000000000.0,"(69.469999999999999, 136.18000000000001, 141.03)",0.0,yes
5192,14000000000.0,"(70.019999999999996, 141.0, 62.130000000000003)",0.0,yes
5230,14000000000.0,"(121.41, 140.84999999999999, 10.73)",0.0,yes
5248,14000000000.0,"(61.329999999999998, 141.27000000000001, 8.0800000000000001)",0.0,yes
5249,28000000000.0,"(68.360000000000014, 24.405000000000001, 140.60500000000002)",0.226605383872,yes
5270,14000000000.0,"(139.75, 44.560000000000002, 141.02000000000001)",0.0,yes
5276,42000000000.0,"(140.85999999999999, 52.763333333333328, 99.370000000000005)",0.272070252365,yes
5388,70000000000.0,"(140.798, 53.525999999999996, 65.718000000000004)",0.329812067699,yes
5524,14000000000.0,"(4.2999999999999998, 0.13, 62.859999999999999)",0.0,yes
5532,14000000000.0,"(112.02, 11.109999999999999, 141.15000000000001)",0.0,yes
5538,42000000000.0,"(65.073333333333338, 53.589999999999996, 140.76000000000002)",0.186070476493,yes
5628,14000000000.0,"(122.73, 140.59999999999999, 108.77)",0.0,yes
5806,14000000000.0,"(0.33000000000000002, 126.55, 118.2)",0.0,yes
5829,14000000000.0,"(141.03, 68.459999999999994, 122.11)",0.0,yes
5837,14000000000.0,"(14.199999999999999, 140.72, 27.969999999999999)",0.0,yes
5848,28000000000.0,"(30.305, 56.935000000000002, 0.755)",0.249148550066,yes
5861,14000000000.0,"(53.799999999999997, 5.5999999999999996, 0.39000000000000001)",0.0,yes
5870,28000000000.0,"(130.245, 0.70999999999999996, 30.189999999999998)",0.119268604419,yes
5887,14000000000.0,"(0.48999999999999999, 130.52000000000001, 15.15)",0.0,yes
5894,14000000000.0,"(0.17999999999999999, 124.01000000000001, 138.94999999999999)",0.0,yes
5922,14000000000.0,"(26.170000000000002, 100.04000000000001, 140.75999999999999)",0.0,yes
5948,14000000000.0,"(50.560000000000002, 103.3, 140.90000000000001)",0.0,yes
5954,14000000000.0,"(114.59999999999999, 0.10000000000000001, 60.280000000000001)",0.0,yes
5963,14000000000.0,"(49.789999999999999, 0.48999999999999999, 59.590000000000003)",0.0,yes
5969,14000000000.0,"(59.200000000000003, 0.45000000000000001, 128.87)",0.0,yes
5978,42000000000.0,"(31.99666666666667, 0.59666666666666668, 40.970000000000006)",0.284331574828,yes
5993,14000000000.0,"(33.189999999999998, 58.439999999999998, 0.070000000000000007)",0.0,yes
6008,14000000000.0,"(47.049999999999997, 0.02, 104.42)",0.0,yes
6009,14000000000.0,"(57.770000000000003, 141.22999999999999, 96.959999999999994)",0.0,yes
6027,14000000000.0,"(25.870000000000001, 114.12, 0.080000000000000002)",0.0,yes
6078,42000000000.0,"(38.883333333333333, 66.61333333333333, 0.23999999999999999)",0.322662534409,yes
6080,14000000000.0,"(140.55000000000001, 19.539999999999999, 89.680000000000007)",0.0,yes
6126,14000000000.0,"(118.36, 118.33, 0.57999999999999996)",0.0,yes
6191,14000000000.0,"(39.340000000000003, 120.62, 0.59999999999999998)",0.0,yes
6194,14000000000.0,"(0.28999999999999998, 79.670000000000002, 92.109999999999999)",0.0,yes
6197,84000000000.0,"(130.37333333333333, 1.0733333333333335, 79.614999999999995)",0.446582703551,yes
6200,14000000000.0,"(0.20999999999999999, 4.5199999999999996, 89.079999999999998)",0.0,yes
6207,168000000000.0,"(0.64000000000000001, 74.164166666666674, 40.610833333333339)",0.590253006016,yes
6222,140000000000.0,"(57.929000000000009, 0.44800000000000006, 5.0190000000000001)",0.319740519797,yes
6238,14000000000.0,"(99.599999999999994, 140.94, 95.620000000000005)",0.0,yes
6271,28000000000.0,"(27.185000000000002, 0.46499999999999997, 66.340000000000003)",0.352349258549,yes
6310,14000000000.0,"(98.420000000000002, 100.98, 0.54000000000000004)",0.0,yes
6319,14000000000.0,"(60.130000000000003, 140.28999999999999, 0.22)",0.0,yes
6344,14000000000.0,"(140.71000000000001, 80.510000000000005, 81.349999999999994)",0.0,yes
6356,14000000000.0,"(138.86000000000001, 141.06999999999999, 66.5)",0.0,yes
6366,14000000000.0,"(70.290000000000006, 141.18000000000001, 107.41)",0.0,yes
6422,28000000000.0,"(55.590000000000003, 0.73999999999999999, 118.535)",0.0743303437366,yes
6434,14000000000.0,"(123.53, 141.12, 137.93000000000001)",0.0,yes
6436,14000000000.0,"(69.150000000000006, 141.28999999999999, 62.5)",0.0,yes
6450,14000000000.0,"(140.81999999999999, 94.5, 59.219999999999999)",0.0,yes
6460,14000000000.0,"(141.27000000000001, 0.53000000000000003, 78.989999999999995)",0.0,yes
6480,14000000000.0,"(140.53999999999999, 5.5999999999999996, 72.010000000000005)",0.0,yes
6505,14000000000.0,"(0.56999999999999995, 63.439999999999998, 112.12)",0.0,yes
6508,14000000000.0,"(138.66, 0.59999999999999998, 78.640000000000001)",0.0,yes
6520,14000000000.0,"(136.90000000000001, 0.69999999999999996, 36.799999999999997)",0.0,yes
6533,28000000000.0,"(29.515000000000001, 89.134999999999991, 140.69)",0.224610774452,yes
6555,154000000000.0,"(68.018181818181816, 141.03818181818181, 51.81545454545455)",0.474322483319,yes
6590,28000000000.0,"(65.625, 46.850000000000001, 141.19499999999999)",0.025495097568,yes
6655,14000000000.0,"(66.200000000000003, 141.00999999999999, 54.390000000000001)",0.0,yes
6699,14000000000.0,"(111.98999999999999, 99.590000000000003, 0.23999999999999999)",0.0,yes
6714,14000000000.0,"(42.100000000000001, 0.52000000000000002, 61.159999999999997)",0.0,yes
6754,14000000000.0,"(10.52, 141.06, 62.390000000000001)",0.0,yes
6791,14000000000.0,"(87.640000000000001, 0.11, 90.379999999999995)",0.0,yes
6864,14000000000.0,"(140.93000000000001, 116.09, 89.590000000000003)",0.0,yes
6876,28000000000.0,"(112.56999999999999, 22.855, 141.18000000000001)",0.149080515159,yes
6886,28000000000.0,"(140.84999999999999, 125.98, 122.63499999999999)",0.141509716981,yes
6967,28000000000.0,"(78.789999999999992, 74.490000000000009, 141.26999999999998)",0.150332963784,yes
6988,14000000000.0,"(51.039999999999999, 122.94, 141.08000000000001)",0.0,yes
6997,14000000000.0,"(85.209999999999994, 140.56, 13.390000000000001)",0.0,yes
7031,14000000000.0,"(13.08, 141.16999999999999, 29.859999999999999)",0.0,yes
7036,14000000000.0,"(9.6899999999999995, 0.11, 29.219999999999999)",0.0,yes
7044,56000000000.0,"(140.31, 83.757500000000007, 126.6675)",0.351692337136,yes
