,Mass,Center of Mass,RMS Radius,Potential Issue
7132,14000000000.0,"(46.020000000000003, 106.51000000000001, 0.25)",0.0,yes
7146,14000000000.0,"(119.48, 77.569999999999993, 140.56)",0.0,yes
7152,14000000000.0,"(23.920000000000002, 85.920000000000002, 140.72)",0.0,yes
7179,14000000000.0,"(110.26000000000001, 0.11, 62.829999999999998)",0.0,yes
7288,14000000000.0,"(60.619999999999997, 140.75999999999999, 79.590000000000003)",0.0,yes
7301,14000000000.0,"(0.58999999999999997, 75.170000000000002, 56.299999999999997)",0.0,yes
7349,14000000000.0,"(33.439999999999998, 62.280000000000001, 140.71000000000001)",0.0,yes
7389,14000000000.0,"(32.920000000000002, 141.00999999999999, 69.159999999999997)",0.0,yes
7418,14000000000.0,"(27.850000000000001, 0.58999999999999997, 24.059999999999999)",0.0,yes
7474,14000000000.0,"(132.52000000000001, 34.25, 141.12)",0.0,yes
7493,14000000000.0,"(96.269999999999996, 13.970000000000001, 0.73999999999999999)",0.0,yes
7497,42000000000.0,"(140.69666666666666, 62.373333333333335, 112.86333333333334)",0.328937684068,yes
7503,14000000000.0,"(140.84999999999999, 62.039999999999999, 99.519999999999996)",0.0,yes
7540,14000000000.0,"(41.039999999999999, 78.359999999999999, 0.34999999999999998)",0.0,yes
7615,14000000000.0,"(0.34999999999999998, 100.47, 32.140000000000001)",0.0,yes
7687,84000000000.0,"(140.32833333333332, 67.950000000000003, 71.11333333333333)",0.617227222702,yes
7737,14000000000.0,"(98.819999999999993, 140.61000000000001, 38.329999999999998)",0.0,yes
7809,14000000000.0,"(0.01, 52.640000000000001, 66.069999999999993)",0.0,yes
7823,14000000000.0,"(0.34999999999999998, 127.47, 101.19)",0.0,yes
7831,28000000000.0,"(48.32, 5.1449999999999996, 140.72499999999999)",0.025495097568,yes
7847,42000000000.0,"(64.819999999999993, 90.949999999999989, 140.56999999999999)",0.285657137142,yes
7848,14000000000.0,"(30.260000000000002, 140.71000000000001, 50.0)",0.0,yes
7862,14000000000.0,"(17.449999999999999, 54.890000000000001, 0.55000000000000004)",0.0,yes
7868,28000000000.0,"(77.689999999999998, 10.945, 140.655)",0.325038459263,yes
7891,14000000000.0,"(135.28999999999999, 107.55, 141.09)",0.0,yes
7914,14000000000.0,"(134.25999999999999, 0.58999999999999997, 94.469999999999999)",0.0,yes
7936,14000000000.0,"(62.240000000000002, 140.58000000000001, 10.279999999999999)",0.0,yes
7964,70000000000.0,"(0.71599999999999997, 53.609999999999992, 59.700000000000003)",0.424998823528,yes
7988,14000000000.0,"(47.549999999999997, 57.719999999999999, 141.22)",0.0,yes
8001,84000000000.0,"(77.945000000000007, 0.375, 27.62833333333333)",0.201404788644,yes
8009,14000000000.0,"(56.229999999999997, 0.73999999999999999, 128.59999999999999)",0.0,yes
8059,84000000000.0,"(136.66666666666666, 140.99333333333331, 80.168333333333322)",0.262789522876,yes
8134,14000000000.0,"(26.84, 89.060000000000002, 0.12)",0.0,yes
8156,14000000000.0,"(0.38, 40.229999999999997, 40.450000000000003)",0.0,yes
8158,14000000000.0,"(91.159999999999997, 0.51000000000000001, 55.359999999999999)",0.0,yes
8167,14000000000.0,"(0.059999999999999998, 55.530000000000001, 140.05000000000001)",0.0,yes
8184,28000000000.0,"(61.280000000000001, 0.42999999999999999, 11.545)",0.318158765399,yes
8204,14000000000.0,"(140.81, 84.719999999999999, 44.810000000000002)",0.0,yes
8219,70000000000.0,"(140.81, 113.292, 41.579999999999998)",0.386802275071,yes
8228,14000000000.0,"(0.10000000000000001, 108.20999999999999, 22.440000000000001)",0.0,yes
8252,14000000000.0,"(127.91, 0.48999999999999999, 16.18)",0.0,yes
8269,42000000000.0,"(23.469999999999999, 91.966666666666654, 0.66666666666666663)",0.238420729897,yes
8301,14000000000.0,"(31.609999999999999, 88.060000000000002, 0.75)",0.0,yes
8308,14000000000.0,"(0.56999999999999995, 72.760000000000005, 38.960000000000001)",0.0,yes
8321,14000000000.0,"(38.939999999999998, 0.68999999999999995, 102.79000000000001)",0.0,yes
8327,70000000000.0,"(99.450000000000003, 0.53000000000000003, 95.378)",0.429948834165,yes
8371,28000000000.0,"(30.004999999999999, 140.965, 24.825000000000003)",0.241816045787,yes
8374,28000000000.0,"(49.269999999999996, 59.849999999999994, 140.91)",0.355246393367,yes
8383,14000000000.0,"(140.65000000000001, 138.53999999999999, 123.04000000000001)",0.0,yes
8426,14000000000.0,"(81.609999999999999, 140.91999999999999, 33.890000000000001)",0.0,yes
8428,14000000000.0,"(88.200000000000003, 89.140000000000001, 140.78)",0.0,yes
8440,14000000000.0,"(40.359999999999999, 140.75999999999999, 132.71000000000001)",0.0,yes
8473,14000000000.0,"(141.09, 137.44, 25.539999999999999)",0.0,yes
8481,14000000000.0,"(115.79000000000001, 78.069999999999993, 140.63999999999999)",0.0,yes
8483,14000000000.0,"(0.62, 90.200000000000003, 134.86000000000001)",0.0,yes
8508,14000000000.0,"(26.890000000000001, 0.20000000000000001, 90.879999999999995)",0.0,yes
8531,42000000000.0,"(53.396666666666668, 54.840000000000003, 141.09999999999999)",0.318991466274,yes
8538,14000000000.0,"(105.29000000000001, 0.01, 42.450000000000003)",0.0,yes
8544,14000000000.0,"(103.17, 58.799999999999997, 141.15000000000001)",0.0,yes
8556,112000000000.0,"(0.95874999999999988, 72.996250000000003, 49.131250000000001)",0.301654293024,yes
8571,14000000000.0,"(133.16, 141.19999999999999, 81.390000000000001)",0.0,yes
8605,14000000000.0,"(135.09, 0.070000000000000007, 94.379999999999995)",0.0,yes
8653,14000000000.0,"(0.32000000000000001, 123.98, 112.12)",0.0,yes
8667,28000000000.0,"(4.2300000000000004, 45.325000000000003, 140.82999999999998)",0.36142080737,yes
8672,14000000000.0,"(12.43, 23.440000000000001, 0.42999999999999999)",0.0,yes
8678,70000000000.0,"(56.537999999999997, 0.13400000000000001, 125.178)",0.510975537575,yes
8726,28000000000.0,"(141.26999999999998, 125.52500000000001, 73.569999999999993)",0.0364005494464,yes
8732,28000000000.0,"(34.259999999999998, 0.71999999999999997, 74.575000000000003)",0.225887139962,yes
8787,14000000000.0,"(140.80000000000001, 111.15000000000001, 137.40000000000001)",0.0,yes
8798,42000000000.0,"(0.55666666666666664, 101.66000000000001, 9.1899999999999995)",0.350935258353,yes
8803,14000000000.0,"(140.80000000000001, 93.170000000000002, 81.010000000000005)",0.0,yes
8837,14000000000.0,"(0.51000000000000001, 70.480000000000004, 10.91)",0.0,yes
8851,28000000000.0,"(94.129999999999995, 0.34999999999999998, 8.1999999999999993)",0.0707106781187,yes
8856,14000000000.0,"(107.08, 0.34000000000000002, 21.68)",0.0,yes
8857,28000000000.0,"(74.969999999999999, 129.24000000000001, 0.38)",0.12409673646,yes
8870,14000000000.0,"(123.16, 141.06999999999999, 21.800000000000001)",0.0,yes
8898,14000000000.0,"(115.11, 100.41, 140.91)",0.0,yes
8902,14000000000.0,"(0.089999999999999997, 87.519999999999996, 56.369999999999997)",0.0,yes
8907,14000000000.0,"(0.46000000000000002, 121.93000000000001, 25.649999999999999)",0.0,yes
8938,14000000000.0,"(0.37, 73.269999999999996, 14.4)",0.0,yes
8955,14000000000.0,"(22.399999999999999, 118.58, 0.22)",0.0,yes
8966,14000000000.0,"(80.790000000000006, 102.14, 0.14999999999999999)",0.0,yes
8973,14000000000.0,"(38.460000000000001, 120.97, 0.46999999999999997)",0.0,yes
8994,14000000000.0,"(0.25, 104.84999999999999, 23.73)",0.0,yes
9009,14000000000.0,"(98.450000000000003, 12.140000000000001, 140.59)",0.0,yes
9026,14000000000.0,"(63.32, 84.959999999999994, 140.88)",0.0,yes
9044,14000000000.0,"(30.98, 121.90000000000001, 141.22999999999999)",0.0,yes
9056,14000000000.0,"(137.63999999999999, 0.01, 35.219999999999999)",0.0,yes
9060,14000000000.0,"(0.34000000000000002, 52.0, 1.28)",0.0,yes
9063,14000000000.0,"(60.009999999999998, 19.129999999999999, 0.13)",0.0,yes
9065,14000000000.0,"(8.9700000000000006, 121.88, 140.91999999999999)",0.0,yes
9101,14000000000.0,"(13.789999999999999, 141.19, 82.069999999999993)",0.0,yes
9114,14000000000.0,"(41.890000000000001, 132.78999999999999, 141.28)",0.0,yes
9126,14000000000.0,"(90.780000000000001, 0.53000000000000003, 41.969999999999999)",0.0,yes
9134,70000000000.0,"(140.74600000000001, 110.38800000000001, 80.201999999999998)",0.299959997333,yes
9165,14000000000.0,"(140.99000000000001, 134.22, 101.5)",0.0,yes
9207,14000000000.0,"(141.13, 78.510000000000005, 106.48)",0.0,yes
9212,14000000000.0,"(113.05, 113.12, 0.0)",0.0,yes
9252,14000000000.0,"(137.53999999999999, 94.120000000000005, 0.55000000000000004)",0.0,yes
9258,14000000000.0,"(1.9099999999999999, 140.77000000000001, 83.519999999999996)",0.0,yes
9263,14000000000.0,"(65.540000000000006, 0.58999999999999997, 45.979999999999997)",0.0,yes
9268,28000000000.0,"(93.265000000000001, 0.78000000000000003, 23.609999999999999)",0.136839321834,yes
9302,28000000000.0,"(140.88499999999999, 52.515000000000001, 100.735)",0.12835497653,yes
9312,14000000000.0,"(0.41999999999999998, 125.63, 20.66)",0.0,yes
9318,42000000000.0,"(115.27, 140.95000000000002, 12.443333333333333)",0.133249973942,yes
9353,14000000000.0,"(104.98, 140.97999999999999, 49.850000000000001)",0.0,yes
9365,14000000000.0,"(54.520000000000003, 140.55000000000001, 13.789999999999999)",0.0,yes
9407,14000000000.0,"(56.859999999999999, 0.71999999999999997, 1.8600000000000001)",0.0,yes
9408,14000000000.0,"(141.22, 77.480000000000004, 28.09)",0.0,yes
9421,14000000000.0,"(19.140000000000001, 75.079999999999998, 0.72999999999999998)",0.0,yes
9473,14000000000.0,"(50.289999999999999, 58.100000000000001, 140.91999999999999)",0.0,yes
9504,14000000000.0,"(141.09999999999999, 61.57, 12.84)",0.0,yes
9513,14000000000.0,"(78.5, 126.36, 0.40999999999999998)",0.0,yes
9530,98000000000.0,"(95.172857142857154, 0.6757142857142856, 22.408571428571431)",0.531896875075,yes
9554,14000000000.0,"(98.189999999999998, 48.710000000000001, 0.01)",0.0,yes
9555,14000000000.0,"(0.54000000000000004, 54.259999999999998, 89.329999999999998)",0.0,yes
9571,28000000000.0,"(44.335000000000001, 65.754999999999995, 140.98500000000001)",0.363696301878,yes
9583,14000000000.0,"(0.080000000000000002, 61.07, 121.64)",0.0,yes
9621,28000000000.0,"(67.164999999999992, 140.53, 112.545)",0.225499445676,yes
9670,14000000000.0,"(55.530000000000001, 140.75, 45.75)",0.0,yes
9690,14000000000.0,"(140.91999999999999, 90.739999999999995, 26.949999999999999)",0.0,yes
9735,14000000000.0,"(141.06, 127.58, 105.73)",0.0,yes
9737,14000000000.0,"(16.010000000000002, 0.45000000000000001, 83.939999999999998)",0.0,yes
9761,14000000000.0,"(0.5, 42.5, 107.23)",0.0,yes
9846,14000000000.0,"(21.690000000000001, 96.969999999999999, 140.59)",0.0,yes
9880,14000000000.0,"(15.65, 96.409999999999997, 0.27000000000000002)",0.0,yes
9905,28000000000.0,"(0.19500000000000001, 99.280000000000001, 31.395)",0.205548047911,yes
9908,28000000000.0,"(111.25999999999999, 141.05000000000001, 90.784999999999997)",0.255978514723,yes
9952,14000000000.0,"(19.809999999999999, 0.59999999999999998, 12.44)",0.0,yes
9953,14000000000.0,"(118.31, 140.58000000000001, 104.13)",0.0,yes
9990,42000000000.0,"(140.80333333333337, 91.613333333333344, 113.37)",0.34772275035,yes
10034,14000000000.0,"(73.680000000000007, 70.019999999999996, 140.81999999999999)",0.0,yes
10043,14000000000.0,"(129.50999999999999, 123.43000000000001, 140.66999999999999)",0.0,yes
10060,14000000000.0,"(0.20000000000000001, 75.780000000000001, 131.40000000000001)",0.0,yes
10114,14000000000.0,"(30.699999999999999, 58.890000000000001, 0.45000000000000001)",0.0,yes
10132,14000000000.0,"(134.12, 92.829999999999998, 0.65000000000000002)",0.0,yes
10138,14000000000.0,"(33.479999999999997, 0.68000000000000005, 73.700000000000003)",0.0,yes
10166,14000000000.0,"(25.530000000000001, 75.379999999999995, 141.25)",0.0,yes
10189,14000000000.0,"(106.23, 140.72, 11.619999999999999)",0.0,yes
10207,14000000000.0,"(59.07, 0.32000000000000001, 83.950000000000003)",0.0,yes
10244,14000000000.0,"(82.890000000000001, 0.73999999999999999, 104.47)",0.0,yes
10288,42000000000.0,"(102.54000000000001, 140.84333333333333, 94.846666666666678)",0.24106246309,yes
10325,14000000000.0,"(41.229999999999997, 85.310000000000002, 140.66999999999999)",0.0,yes
10330,14000000000.0,"(100.37, 0.23000000000000001, 84.450000000000003)",0.0,yes
10360,14000000000.0,"(15.380000000000001, 130.53999999999999, 140.59999999999999)",0.0,yes
10361,14000000000.0,"(68.849999999999994, 0.34000000000000002, 59.640000000000001)",0.0,yes
10364,14000000000.0,"(131.11000000000001, 89.099999999999994, 0.12)",0.0,yes
10387,28000000000.0,"(141.20999999999998, 89.414999999999992, 69.965000000000003)",0.032403703492,yes
10406,28000000000.0,"(18.535, 94.204999999999998, 140.46499999999997)",0.141686273153,yes
10419,14000000000.0,"(67.640000000000001, 0.02, 52.479999999999997)",0.0,yes
10446,14000000000.0,"(138.08000000000001, 115.94, 141.15000000000001)",0.0,yes
10502,14000000000.0,"(117.76000000000001, 0.48999999999999999, 120.06)",0.0,yes
10547,14000000000.0,"(0.26000000000000001, 73.560000000000002, 50.0)",0.0,yes
10570,28000000000.0,"(14.934999999999999, 140.91, 23.734999999999999)",0.130192165663,yes
10594,14000000000.0,"(116.95, 103.88, 141.00999999999999)",0.0,yes
10596,14000000000.0,"(141.19999999999999, 53.18, 64.269999999999996)",0.0,yes
10605,14000000000.0,"(130.44999999999999, 105.41, 0.47999999999999998)",0.0,yes
10624,14000000000.0,"(97.219999999999999, 0.02, 140.62)",0.0,yes
10684,14000000000.0,"(85.859999999999999, 0.029999999999999999, 36.020000000000003)",0.0,yes
10748,14000000000.0,"(45.340000000000003, 122.38, 0.20999999999999999)",0.0,yes
10766,14000000000.0,"(33.020000000000003, 140.56999999999999, 95.799999999999997)",0.0,yes
10788,14000000000.0,"(39.990000000000002, 141.25999999999999, 62.93)",0.0,yes
10789,14000000000.0,"(139.53, 103.95999999999999, 140.87)",0.0,yes
10823,14000000000.0,"(41.060000000000002, 0.089999999999999997, 115.47)",0.0,yes
10836,14000000000.0,"(106.66, 140.91999999999999, 87.530000000000001)",0.0,yes
10926,14000000000.0,"(0.01, 96.909999999999997, 93.620000000000005)",0.0,yes
10979,14000000000.0,"(57.840000000000003, 49.340000000000003, 0.51000000000000001)",0.0,yes
10981,14000000000.0,"(134.34, 41.07, 140.59999999999999)",0.0,yes
11002,14000000000.0,"(140.97999999999999, 57.030000000000001, 16.280000000000001)",0.0,yes
11009,14000000000.0,"(36.479999999999997, 120.88, 0.29999999999999999)",0.0,yes
11022,14000000000.0,"(0.27000000000000002, 76.079999999999998, 60.909999999999997)",0.0,yes
11037,28000000000.0,"(66.219999999999999, 140.59999999999999, 47.075000000000003)",0.0427200187266,yes
11067,14000000000.0,"(17.75, 86.629999999999995, 0.11)",0.0,yes
11146,14000000000.0,"(58.420000000000002, 18.16, 0.31)",0.0,yes
11224,14000000000.0,"(79.079999999999998, 0.62, 6.9000000000000004)",0.0,yes
11310,14000000000.0,"(0.40999999999999998, 123.79000000000001, 3.71)",0.0,yes
11360,14000000000.0,"(23.809999999999999, 92.290000000000006, 140.88999999999999)",0.0,yes
11372,14000000000.0,"(119.94, 81.579999999999998, 0.23999999999999999)",0.0,yes
11380,28000000000.0,"(140.17000000000002, 0.58999999999999997, 78.319999999999993)",0.0374165738677,yes
11399,28000000000.0,"(0.44500000000000001, 45.409999999999997, 134.80500000000001)",0.187483332593,yes
11402,14000000000.0,"(92.129999999999995, 0.17000000000000001, 11.699999999999999)",0.0,yes
11413,28000000000.0,"(96.510000000000005, 140.95499999999998, 20.875)",0.202607995894,yes
11419,42000000000.0,"(68.790000000000006, 5.7166666666666659, 140.47333333333333)",0.321835016395,yes
11449,56000000000.0,"(138.19499999999999, 123.41500000000001, 0.755)",0.241609188567,yes
11464,14000000000.0,"(44.609999999999999, 140.91999999999999, 61.950000000000003)",0.0,yes
11491,14000000000.0,"(29.359999999999999, 0.76000000000000001, 83.549999999999997)",0.0,yes
11512,14000000000.0,"(62.909999999999997, 57.509999999999998, 141.21000000000001)",0.0,yes
11526,14000000000.0,"(17.859999999999999, 30.440000000000001, 0.029999999999999999)",0.0,yes
11584,14000000000.0,"(62.380000000000003, 98.099999999999994, 0.32000000000000001)",0.0,yes
11687,56000000000.0,"(48.010000000000005, 62.600000000000001, 0.89250000000000007)",0.272247589521,yes
11709,14000000000.0,"(96.469999999999999, 0.56000000000000005, 19.43)",0.0,yes
11744,14000000000.0,"(62.829999999999998, 0.31, 64.680000000000007)",0.0,yes
11757,14000000000.0,"(0.31, 16.32, 65.980000000000004)",0.0,yes
11823,14000000000.0,"(27.93, 140.94999999999999, 84.980000000000004)",0.0,yes
11849,28000000000.0,"(140.77500000000001, 49.769999999999996, 99.620000000000005)",0.300208261046,yes
11859,28000000000.0,"(100.60499999999999, 105.44499999999999, 141.155)",0.27290108098,yes
11865,14000000000.0,"(0.63, 3.8500000000000001, 89.239999999999995)",0.0,yes
11888,14000000000.0,"(0.63, 52.619999999999997, 3.02)",0.0,yes
11897,42000000000.0,"(38.580000000000005, 140.71666666666667, 75.453333333333333)",0.102198064778,yes
11909,14000000000.0,"(135.31999999999999, 38.799999999999997, 0.63)",0.0,yes
11934,14000000000.0,"(0.29999999999999999, 136.0, 89.609999999999999)",0.0,yes
12031,14000000000.0,"(64.840000000000003, 141.13, 18.440000000000001)",0.0,yes
12039,14000000000.0,"(131.66, 140.99000000000001, 52.560000000000002)",0.0,yes
12041,14000000000.0,"(23.98, 0.10000000000000001, 111.2)",0.0,yes
12054,56000000000.0,"(124.2675, 115.90000000000001, 0.38750000000000001)",0.202330175703,yes
12071,14000000000.0,"(130.28999999999999, 42.259999999999998, 140.69)",0.0,yes
12096,14000000000.0,"(51.880000000000003, 50.289999999999999, 140.99000000000001)",0.0,yes
12130,28000000000.0,"(0.155, 70.459999999999994, 20.219999999999999)",0.334850713005,yes
12158,14000000000.0,"(76.060000000000002, 140.81, 31.170000000000002)",0.0,yes
12188,14000000000.0,"(94.700000000000003, 0.02, 121.0)",0.0,yes
12202,14000000000.0,"(44.649999999999999, 68.549999999999997, 0.48999999999999999)",0.0,yes
12243,14000000000.0,"(140.61000000000001, 89.299999999999997, 28.030000000000001)",0.0,yes
12260,14000000000.0,"(87.459999999999994, 121.58, 0.41999999999999998)",0.0,yes
12280,14000000000.0,"(115.95, 0.23999999999999999, 60.109999999999999)",0.0,yes
12289,14000000000.0,"(0.23000000000000001, 64.510000000000005, 38.409999999999997)",0.0,yes
12303,14000000000.0,"(106.62, 68.920000000000002, 141.13)",0.0,yes
12314,14000000000.0,"(57.549999999999997, 141.30000000000001, 34.960000000000001)",0.0,yes
12338,28000000000.0,"(19.850000000000001, 140.44999999999999, 54.060000000000002)",0.167630546142,yes
12345,14000000000.0,"(141.02000000000001, 36.689999999999998, 44.869999999999997)",0.0,yes
12391,14000000000.0,"(0.11, 138.47, 56.990000000000002)",0.0,yes
12400,14000000000.0,"(112.16, 102.28, 140.84999999999999)",0.0,yes
12404,14000000000.0,"(60.219999999999999, 141.09, 123.38)",0.0,yes
12428,14000000000.0,"(0.55000000000000004, 37.549999999999997, 2.3199999999999998)",0.0,yes
12434,14000000000.0,"(99.879999999999995, 41.700000000000003, 0.35999999999999999)",0.0,yes
12470,14000000000.0,"(53.460000000000001, 13.029999999999999, 140.61000000000001)",0.0,yes
12496,14000000000.0,"(41.009999999999998, 132.62, 0.40999999999999998)",0.0,yes
12498,14000000000.0,"(128.19, 95.840000000000003, 0.12)",0.0,yes
12575,42000000000.0,"(103.53333333333335, 0.89666666666666661, 124.66333333333334)",0.285773803325,yes
12619,42000000000.0,"(0.64333333333333331, 60.136666666666663, 52.433333333333337)",0.330555088702,yes
12622,14000000000.0,"(0.66000000000000003, 47.479999999999997, 57.890000000000001)",0.0,yes
12638,14000000000.0,"(0.46000000000000002, 99.739999999999995, 5.3899999999999997)",0.0,yes
12652,14000000000.0,"(92.299999999999997, 141.13, 11.68)",0.0,yes
12687,14000000000.0,"(92.650000000000006, 140.72, 78.489999999999995)",0.0,yes
12704,14000000000.0,"(104.55, 90.090000000000003, 0.37)",0.0,yes
12711,14000000000.0,"(0.57999999999999996, 114.88, 31.600000000000001)",0.0,yes
12793,14000000000.0,"(51.899999999999999, 139.47999999999999, 141.06)",0.0,yes
12832,14000000000.0,"(28.68, 0.17999999999999999, 86.959999999999994)",0.0,yes
12912,56000000000.0,"(0.24249999999999999, 79.929999999999993, 84.9375)",0.312069703752,yes
12929,14000000000.0,"(51.420000000000002, 141.22999999999999, 51.439999999999998)",0.0,yes
12963,14000000000.0,"(91.590000000000003, 53.649999999999999, 141.25999999999999)",0.0,yes
12967,14000000000.0,"(24.809999999999999, 0.0, 67.060000000000002)",0.0,yes
13003,28000000000.0,"(0.73499999999999999, 45.32, 137.06)",0.054083269132,yes
13009,14000000000.0,"(42.719999999999999, 0.080000000000000002, 73.769999999999996)",0.0,yes
13041,14000000000.0,"(96.349999999999994, 140.81999999999999, 18.82)",0.0,yes
13043,14000000000.0,"(141.22999999999999, 67.060000000000002, 69.480000000000004)",0.0,yes
13080,42000000000.0,"(32.896666666666668, 122.28000000000002, 0.23666666666666669)",0.169246696997,yes
13096,14000000000.0,"(0.31, 101.64, 116.65000000000001)",0.0,yes
13100,14000000000.0,"(140.65000000000001, 83.859999999999999, 34.039999999999999)",0.0,yes
13125,14000000000.0,"(20.629999999999999, 0.65000000000000002, 131.31999999999999)",0.0,yes
13138,14000000000.0,"(0.0, 104.19, 62.219999999999999)",0.0,yes
13152,28000000000.0,"(0.41500000000000004, 122.74000000000001, 95.584999999999994)",0.268421310629,yes
13176,14000000000.0,"(0.13, 92.959999999999994, 19.079999999999998)",0.0,yes
13244,14000000000.0,"(49.609999999999999, 124.2, 0.040000000000000001)",0.0,yes
13245,14000000000.0,"(101.95999999999999, 53.829999999999998, 0.76000000000000001)",0.0,yes
13281,14000000000.0,"(34.219999999999999, 0.26000000000000001, 75.459999999999994)",0.0,yes
13312,14000000000.0,"(141.22999999999999, 130.19999999999999, 14.789999999999999)",0.0,yes
13329,14000000000.0,"(74.849999999999994, 141.28, 52.979999999999997)",0.0,yes
13336,28000000000.0,"(0.34999999999999998, 59.334999999999994, 87.340000000000003)",0.117579760163,yes
13344,28000000000.0,"(115.11, 105.70999999999999, 141.10000000000002)",0.208566536146,yes
13361,14000000000.0,"(140.71000000000001, 45.939999999999998, 134.83000000000001)",0.0,yes
13365,14000000000.0,"(69.280000000000001, 136.68000000000001, 0.01)",0.0,yes
13403,14000000000.0,"(88.819999999999993, 54.729999999999997, 0.39000000000000001)",0.0,yes
13429,14000000000.0,"(28.559999999999999, 0.11, 51.850000000000001)",0.0,yes
13448,14000000000.0,"(0.45000000000000001, 117.87, 100.66)",0.0,yes
13457,14000000000.0,"(14.69, 89.060000000000002, 140.61000000000001)",0.0,yes
13514,14000000000.0,"(70.109999999999999, 0.51000000000000001, 138.08000000000001)",0.0,yes
13518,14000000000.0,"(140.99000000000001, 110.91, 129.84)",0.0,yes
13520,14000000000.0,"(126.81999999999999, 141.13, 47.310000000000002)",0.0,yes
13527,28000000000.0,"(0.53499999999999992, 1.0549999999999999, 21.120000000000001)",0.354330354331,yes
13570,14000000000.0,"(5.5300000000000002, 0.26000000000000001, 84.549999999999997)",0.0,yes
13586,28000000000.0,"(109.30500000000001, 108.59, 140.755)",0.0187082869339,yes
13596,14000000000.0,"(141.13999999999999, 115.67, 19.16)",0.0,yes
13637,14000000000.0,"(38.189999999999998, 67.75, 0.39000000000000001)",0.0,yes
13659,14000000000.0,"(141.15000000000001, 83.540000000000006, 34.890000000000001)",0.0,yes
